region,routing_region,match_id,game_mode,game_version,game_duration,game_start_ts
br1,americas,BR1_3259297477,CLASSIC,16.13.791.5903,1750,1783289634013
br1,americas,BR1_3259131307,CLASSIC,16.13.791.5903,2362,1783235043170
br1,americas,BR1_3258860084,CLASSIC,16.13.791.5903,1814,1783187592970
br1,americas,BR1_3258844706,CLASSIC,16.13.791.5903,1745,1783185113688
br1,americas,BR1_3258973277,CLASSIC,16.13.791.5903,1635,1783206208618
br1,americas,BR1_3258901395,CLASSIC,16.13.791.5903,1338,1783194383373
la1,americas,LA1_1731261826,CLASSIC,16.13.791.5903,1673,1783286287526
la1,americas,LA1_1731251636,CLASSIC,16.13.791.5903,1847,1783283385108
la1,americas,LA1_1731185490,CLASSIC,16.13.791.5903,1397,1783248758894
la1,americas,LA1_1731186057,CLASSIC,16.13.791.5903,1345,1783246681136
la1,americas,LA1_1731192570,CLASSIC,16.13.791.5903,1668,1783261833257
la1,americas,LA1_1731137814,CLASSIC,16.13.791.5903,1860,1783228626927
la2,americas,LA2_1606757528,CLASSIC,16.13.791.5903,1574,1783031996057
la2,americas,LA2_1606743837,CLASSIC,16.13.791.5903,1713,1783028261574
la2,americas,LA2_1607157979,CHERRY,16.13.791.5903,1339,1783201222105
la2,americas,LA2_1607156145,CHERRY,16.13.791.5903,1380,1783199833155
la2,americas,LA2_1604784430,CLASSIC,16.12.788.4269,1734,1782270337618
la2,americas,LA2_1604668842,CLASSIC,16.12.788.4269,1434,1782243225822
na1,americas,NA1_5595216085,CLASSIC,16.13.791.5903,1652,1783213114668
na1,americas,NA1_5595190512,CLASSIC,16.13.791.5903,1396,1783210731455
na1,americas,NA1_5593932028,CLASSIC,16.13.791.5903,1490,1783046667939
na1,americas,NA1_5593894723,CLASSIC,16.13.791.5903,1723,1783044257657
na1,americas,NA1_5595457533,CLASSIC,16.13.791.5903,934,1783233706904
na1,americas,NA1_5595439620,CLASSIC,16.13.791.5903,1446,1783231868603
jp1,asia,JP1_591445723,CLASSIC,16.13.791.5903,2016,1783280885781
jp1,asia,JP1_591221074,CLASSIC,16.13.791.5903,1542,1783177565318
jp1,asia,JP1_591407165,CLASSIC,16.13.791.5903,2456,1783260966084
jp1,asia,JP1_591390797,CLASSIC,16.13.791.5903,1719,1783257738313
jp1,asia,JP1_591437853,CLASSIC,16.13.791.5903,1009,1783273445620
jp1,asia,JP1_590551384,CLASSIC,16.13.791.5903,2099,1782812260171
kr,asia,KR_8287379938,CHERRY,16.13.791.5903,1662,1783277383444
kr,asia,KR_8287384069,CHERRY,16.13.791.5903,1406,1783275965087
kr,asia,KR_8287414281,CLASSIC,16.13.791.5903,1537,1783281516456
kr,asia,KR_8287399413,CLASSIC,16.13.791.5903,1465,1783278928600
kr,asia,KR_8287114878,CLASSIC,16.13.791.5903,1923,1783261585030
kr,asia,KR_8287021948,CLASSIC,16.13.791.5903,1349,1783258941800
eun1,europe,EUN1_3974203369,CLASSIC,16.13.791.5903,1756,1783280472644
eun1,europe,EUN1_3974181309,CLASSIC,16.13.791.5903,1413,1783278547868
eun1,europe,EUN1_3974266787,CLASSIC,16.13.791.5903,1866,1783287565717
eun1,europe,EUN1_3974245176,CLASSIC,16.13.791.5903,2095,1783284414462
eun1,europe,EUN1_3974189338,CLASSIC,16.13.791.5903,1363,1783278869460
eun1,europe,EUN1_3974158775,CLASSIC,16.13.791.5903,1274,1783276401980
euw1,europe,EUW1_7910038322,CLASSIC,16.13.791.5903,2171,1783286875378
euw1,europe,EUW1_7909998997,CLASSIC,16.13.791.5903,1404,1783284874645
euw1,europe,EUW1_7903341045,CLASSIC,16.13.791.5903,1466,1782741605166
euw1,europe,EUW1_7903290156,CLASSIC,16.13.791.5903,1557,1782738240859
euw1,europe,EUW1_7898064872,CLASSIC,16.13.789.3741,1660,1782327949704
euw1,europe,EUW1_7897980110,CLASSIC,16.13.789.3741,1324,1782325353285
ru,europe,RU_563882330,CLASSIC,16.13.791.5903,2254,1783279877142
ru,europe,RU_563877125,CLASSIC,16.13.791.5903,1637,1783276846708
ru,europe,RU_563862945,CLASSIC,16.13.791.5903,2280,1783269588259
ru,europe,RU_563830150,CLASSIC,16.13.791.5903,1373,1783242514313
ru,europe,RU_562836428,CLASSIC,16.12.788.4269,1693,1782158886263
ru,europe,RU_562832434,CLASSIC,16.12.788.4269,1184,1782156488361
tr1,europe,TR1_1725145853,CHERRY,16.13.791.5903,1409,1783266541879
tr1,europe,TR1_1724988101,CHERRY,16.13.791.5903,1425,1783203454515
tr1,europe,TR1_1725259800,CLASSIC,16.13.791.5903,1824,1783289303848
tr1,europe,TR1_1725247871,CLASSIC,16.13.791.5903,1313,1783286648758
tr1,europe,TR1_1725260471,CLASSIC,16.13.791.5903,1380,1783288989105
oc1,sea,OC1_704951673,CHERRY,16.13.791.5903,1682,1783253546824
oc1,sea,OC1_704709670,CHERRY,16.13.791.5903,1554,1782998093879
oc1,sea,OC1_704962909,CLASSIC,16.13.791.5903,2057,1783261792831
oc1,sea,OC1_704956335,CLASSIC,16.13.791.5903,1973,1783256409749
oc1,sea,OC1_704972127,CLASSIC,16.13.791.5903,1514,1783278849751
oc1,sea,OC1_704970440,CLASSIC,16.13.791.5903,1414,1783271268361
sg2,sea,SG2_162548152,CLASSIC,16.13.791.5903,1420,1783253551899
sg2,sea,SG2_162543062,CLASSIC,16.13.791.5903,1412,1783251420061
sg2,sea,SG2_162296709,CLASSIC,16.13.791.5903,1778,1783139498531
sg2,sea,SG2_162292364,CLASSIC,16.13.791.5903,1537,1783136042168
sg2,sea,SG2_162601886,CLASSIC,16.13.791.5903,1580,1783269049635
sg2,sea,SG2_162589859,CLASSIC,16.13.791.5903,2174,1783265766803
